opportunity_id,sales_agent,manager,regional_office,account,sector,office_location,product,series,sales_price,deal_stage,engage_date,close_date,close_value
02EC1993,Moses Frase,Dustin Brinkmann,Central ,Scottech,marketing,United States,MG Special,MG,55,Won,8/31/2017,11/8/2017,57
02G0NJCN,Vicki Laflamme,Celia Rouche,West ,Xx-holding,finance,United States,MG Special,MG,55,Won,10/17/2017,10/26/2017,68
02ILGBRB,Moses Frase,Dustin Brinkmann,Central ,dambase,marketing,United States,MG Special,MG,55,Lost,9/16/2017,11/21/2017,0
02K37JAK,Jonathan Berthelot,Melvin Marxen,Central ,NULL,NULL,NULL,GTX Plus Basic,GTX,1096,Engaging,7/21/2017,NULL,NULL
02LUGFJS,Cassey Cress,Rocco Neubert,East ,Plussunin,retail,United States,GTXPro,GTX,4821,Won,9/25/2017,9/28/2017,4308
02SSRMSA,Lajuana Vencill,Dustin Brinkmann,Central ,Inity,marketing,United States,GTX Plus Basic,GTX,1096,Won,7/9/2017,7/13/2017,1192
02TUKBP3,Moses Frase,Dustin Brinkmann,Central ,Zumgoity,medical,United States,MG Special,MG,55,Lost,9/25/2017,11/30/2017,0
031BBF1I,Versie Hillebrand,Dustin Brinkmann,Central ,Finhigh,finance,United States,MG Special,MG,55,Won,2/2/2017,3/30/2017,54
03CWYGC9,Kami Bicknell,Summer Sewald,West ,Hottechi,technolgy,Korea,GTX Plus Basic,GTX,1096,Won,5/8/2017,8/10/2017,768
03H4RXBI,Zane Levy,Summer Sewald,West ,Y-corporation,employment,United States,GTX Basic,GTX,550,Won,10/9/2017,12/17/2017,482
03O9FNTZ,Daniell Hammack,Rocco Neubert,East ,Bluth Company,technolgy,United States,GTX Plus Basic,GTX,1096,Won,7/7/2017,7/9/2017,1107
03P9VXWG,Darcel Schlecht,Melvin Marxen,Central ,NULL,NULL,NULL,GTX Basic,GTX,550,Prospecting,NULL,NULL,NULL
03R1VC7O,Donn Cantrell,Rocco Neubert,East ,Condax,medical,United States,GTX Plus Basic,GTX,1096,Won,10/15/2017,10/28/2017,1062
03VCDZEE,Maureen Marcano,Summer Sewald,West ,NULL,NULL,NULL,GTXPro,GTX,4821,Engaging,2/23/2017,NULL,NULL
03X37HOO,Darcel Schlecht,Melvin Marxen,Central ,Zumgoity,medical,United States,MG Special,MG,55,Lost,10/16/2017,10/17/2017,0
041Q1IZL,Zane Levy,Summer Sewald,West ,Green-Plus,services,United States,GTXPro,GTX,4821,Engaging,8/15/2017,NULL,NULL
045D5MZO,Zane Levy,Summer Sewald,West ,Kan-code,software,United States,GTX Plus Pro,GTX,5482,Won,7/8/2017,7/17/2017,5576
04AOWMXV,Anna Snelling,Dustin Brinkmann,Central ,Codehow,software,United States,GTX Basic,GTX,550,Won,12/11/2017,12/28/2017,537
04G3DK6T,Moses Frase,Dustin Brinkmann,Central ,Warephase,services,United States,MG Special,MG,55,Won,11/9/2017,11/21/2017,54
04LU4OPA,Daniell Hammack,Rocco Neubert,East ,Acme Corporation,technolgy,United States,GTX Plus Pro,GTX,5482,Won,4/10/2017,6/11/2017,5721
04OAV3CV,Elease Gluck,Celia Rouche,West ,NULL,NULL,NULL,GTX Plus Pro,GTX,5482,Engaging,5/17/2017,NULL,NULL
04SCU6DK,Corliss Cosme,Cara Losch,East ,NULL,NULL,NULL,MG Advanced,MG,3393,Engaging,7/1/2017,NULL,NULL
04SQ7RNY,Vicki Laflamme,Celia Rouche,West ,Fasehatice,retail,United States,GTXPro,GTX,4821,Won,8/29/2017,12/19/2017,4577
04T6SOQW,Kami Bicknell,Summer Sewald,West ,NULL,NULL,NULL,GTX Basic,GTX,550,Engaging,8/6/2017,NULL,NULL
04YBYVPV,Reed Clapper,Rocco Neubert,East ,Ganjaflex,retail,Japan,GTXPro,GTX,4821,Won,8/22/2017,9/2/2017,4649
04YGLJ3N,Kary Hendrixson,Summer Sewald,West ,NULL,NULL,NULL,GTX Plus Pro,GTX,5482,Engaging,3/17/2017,NULL,NULL
051QTX8Z,Niesha Huffines,Melvin Marxen,Central ,Globex Corporation,technolgy,Norway,GTX Plus Basic,GTX,1096,Won,11/26/2016,3/21/2017,1080
0558PJL2,Corliss Cosme,Cara Losch,East ,NULL,NULL,NULL,GTX Basic,GTX,550,Engaging,9/11/2017,NULL,NULL
055Z2OAS,Anna Snelling,Dustin Brinkmann,Central ,Dontechi,software,United States,MG Special,MG,55,Engaging,7/19/2017,NULL,NULL
05915PPX,Kami Bicknell,Summer Sewald,West ,Xx-holding,finance,United States,MG Advanced,MG,3393,Won,8/20/2017,11/19/2017,3517
059K86LU,Kami Bicknell,Summer Sewald,West ,Labdrill,medical,United States,GTX Plus Pro,GTX,5482,Engaging,8/26/2017,NULL,NULL
05DTWSVC,Niesha Huffines,Melvin Marxen,Central ,Genco Pura Olive Oil Company,retail,Italy,MG Special,MG,55,Lost,1/29/2017,5/5/2017,0
05HLE3JL,Anna Snelling,Dustin Brinkmann,Central ,Stanredtax,finance,United States,GTX Basic,GTX,550,Won,9/1/2017,12/3/2017,514
05QMFSF0,Darcel Schlecht,Melvin Marxen,Central ,Toughzap,retail,United States,GTXPro,GTX,4821,Lost,3/3/2017,5/16/2017,0
066V2ZGP,Anna Snelling,Dustin Brinkmann,Central ,Rangreen,technolgy,Panama,MG Advanced,MG,3393,Won,4/28/2017,8/14/2017,3334
06AIY3IS,Marty Freudenburg,Melvin Marxen,Central ,Condax,medical,United States,GTX Plus Pro,GTX,5482,Won,6/2/2017,8/21/2017,5712
06B7XWPC,Kary Hendrixson,Summer Sewald,West ,Sonron,telecommunications,United States,GTXPro,GTX,4821,Won,1/2/2017,3/17/2017,4125
06C1N1F7,Elease Gluck,Celia Rouche,West ,NULL,NULL,NULL,MG Special,MG,55,Engaging,10/5/2017,NULL,NULL
06DUY829,Versie Hillebrand,Dustin Brinkmann,Central ,Ron-tech,medical,United States,MG Special,MG,55,Won,3/30/2017,4/8/2017,59
06H63NKF,Darcel Schlecht,Melvin Marxen,Central ,Conecom,technolgy,United States,GTXPro,GTX,4821,Lost,9/14/2017,11/20/2017,0
06KTPHYC,Rosalina Dieter,Celia Rouche,West ,Hottechi,technolgy,Korea,MG Advanced,MG,3393,Lost,7/16/2017,7/24/2017,0
06T2UPDG,Cecily Lampkin,Dustin Brinkmann,Central ,dambase,marketing,United States,MG Special,MG,55,Lost,2/24/2017,6/5/2017,0
06YBVWXZ,Kami Bicknell,Summer Sewald,West ,Condax,medical,United States,GTXPro,GTX,4821,Lost,3/23/2017,4/3/2017,0
06YL7WVJ,Darcel Schlecht,Melvin Marxen,Central ,Ron-tech,medical,United States,GTX Plus Basic,GTX,1096,Won,3/19/2017,3/21/2017,929
070M5M6X,Maureen Marcano,Summer Sewald,West ,Green-Plus,services,United States,GTXPro,GTX,4821,Won,1/13/2017,3/25/2017,4071
072ELFQF,Lajuana Vencill,Dustin Brinkmann,Central ,Isdom,medical,United States,MG Advanced,MG,3393,Lost,7/1/2017,7/3/2017,0
073UCD9F,Gladys Colclough,Melvin Marxen,Central ,Betatech,medical,Kenya,MG Special,MG,55,Lost,9/5/2017,12/10/2017,0
075SHVO3,Vicki Laflamme,Celia Rouche,West ,Plexzap,retail,United States,MG Special,MG,55,Lost,5/23/2017,8/12/2017,0
07BT6PBZ,Moses Frase,Dustin Brinkmann,Central ,Treequote,telecommunications,United States,MG Special,MG,55,Won,4/20/2017,5/2/2017,58
07DPEL0B,Anna Snelling,Dustin Brinkmann,Central ,Cancity,retail,United States,GTX Basic,GTX,550,Won,9/13/2017,11/25/2017,629
07FRJ44N,Gladys Colclough,Melvin Marxen,Central ,Cancity,retail,United States,GTX Plus Pro,GTX,5482,Lost,6/25/2017,7/3/2017,0
07GUKIG3,Violet Mclelland,Cara Losch,East ,NULL,NULL,NULL,MG Special,MG,55,Engaging,12/5/2017,NULL,NULL
07WKR17A,Gladys Colclough,Melvin Marxen,Central ,Treequote,telecommunications,United States,GTX Plus Pro,GTX,5482,Won,6/27/2017,9/17/2017,6193
086279IX,Kary Hendrixson,Summer Sewald,West ,Kan-code,software,United States,GTXPro,GTX,4821,Won,3/15/2017,6/14/2017,4369
08APB75Q,Lajuana Vencill,Dustin Brinkmann,Central ,Isdom,medical,United States,GTX Basic,GTX,550,Won,2/5/2017,5/13/2017,501
08EX3XKE,Daniell Hammack,Rocco Neubert,East ,The New York Inquirer,medical,United States,MG Special,MG,55,Won,4/25/2017,5/1/2017,51
08KE6ZQN,Boris Faz,Rocco Neubert,East ,Vehement Capital Partners,finance,United States,MG Advanced,MG,3393,Won,3/31/2017,4/1/2017,2819
08O63ECM,Donn Cantrell,Rocco Neubert,East ,Gekko & Co,retail,United States,MG Advanced,MG,3393,Won,8/26/2017,12/1/2017,3281
08Q8A6M9,Marty Freudenburg,Melvin Marxen,Central ,Scottech,marketing,United States,MG Special,MG,55,Won,6/5/2017,6/22/2017,60
093R7PK9,Vicki Laflamme,Celia Rouche,West ,Zoomit,entertainment,United States,MG Special,MG,55,Won,3/15/2017,6/11/2017,52
09AILR04,Darcel Schlecht,Melvin Marxen,Central ,Statholdings,employment,United States,GTXPro,GTX,4821,Won,10/21/2017,10/29/2017,4732
09BVA55J,Zane Levy,Summer Sewald,West ,Scotfind,software,United States,GTX Basic,GTX,550,Won,2/19/2017,6/25/2017,598
09C4GR2W,Vicki Laflamme,Celia Rouche,West ,Groovestreet,retail,United States,GTX Plus Basic,GTX,1096,Won,5/5/2017,8/10/2017,1151
09GK47AY,Garret Kinder,Cara Losch,East ,Ontomedia,employment,United States,GTX Plus Basic,GTX,1096,Lost,7/29/2017,8/2/2017,0
09P7O0LQ,Cecily Lampkin,Dustin Brinkmann,Central ,Finhigh,finance,United States,MG Special,MG,55,Won,6/8/2017,9/13/2017,60
09RN3MHV,Vicki Laflamme,Celia Rouche,West ,Kan-code,software,United States,GTXPro,GTX,4821,Won,5/26/2017,9/21/2017,5074
09W047QT,Donn Cantrell,Rocco Neubert,East ,Umbrella Corporation,finance,United States,GTXPro,GTX,4821,Won,7/5/2017,8/10/2017,4565
09YE9QOV,Hayden Neloms,Celia Rouche,West ,Finjob,employment,United States,MG Advanced,MG,3393,Won,11/5/2016,3/11/2017,3393
0A1LN7GB,Violet Mclelland,Cara Losch,East ,NULL,NULL,NULL,MG Special,MG,55,Engaging,3/9/2017,NULL,NULL
0AJ6LTZ0,Kami Bicknell,Summer Sewald,West ,Golddex,finance,United States,GTX Basic,GTX,550,Won,2/3/2017,3/14/2017,622
0AN86YDG,Maureen Marcano,Summer Sewald,West ,Groovestreet,retail,United States,GTX Plus Basic,GTX,1096,Won,4/16/2017,4/24/2017,1234
0AQGBN7B,Maureen Marcano,Summer Sewald,West ,NULL,NULL,NULL,GTX Plus Basic,GTX,1096,Engaging,5/8/2017,NULL,NULL
0AR9HD16,Darcel Schlecht,Melvin Marxen,Central ,Funholding,finance,United States,GTX Basic,GTX,550,Won,5/6/2017,8/17/2017,526
0AXGVKN8,Garret Kinder,Cara Losch,East ,Acme Corporation,technolgy,United States,MG Special,MG,55,Won,2/24/2017,5/28/2017,55
0B09WODM,Boris Faz,Rocco Neubert,East ,Mathtouch,marketing,Jordan,GTX Plus Basic,GTX,1096,Lost,10/24/2017,10/26/2017,0
0BG8WJSX,Maureen Marcano,Summer Sewald,West ,Finjob,employment,United States,GTX Basic,GTX,550,Lost,5/11/2017,5/22/2017,0
0BQTT5UF,Marty Freudenburg,Melvin Marxen,Central ,Donware,marketing,United States,GTXPro,GTX,4821,Prospecting,NULL,NULL,NULL
0BSYDRMT,Reed Clapper,Rocco Neubert,East ,Bluth Company,technolgy,United States,MG Special,MG,55,Won,6/30/2017,9/18/2017,60
0BYU67KG,Wilburn Farren,Cara Losch,East ,Ganjaflex,retail,Japan,MG Advanced,MG,3393,Lost,10/1/2017,12/13/2017,0
0C34Z5UZ,Gladys Colclough,Melvin Marxen,Central ,NULL,NULL,NULL,GTXPro,GTX,4821,Prospecting,NULL,NULL,NULL
0CECGPEJ,Moses Frase,Dustin Brinkmann,Central ,NULL,NULL,NULL,MG Advanced,MG,3393,Prospecting,NULL,NULL,NULL
0CR37ETK,Corliss Cosme,Cara Losch,East ,NULL,NULL,NULL,MG Advanced,MG,3393,Engaging,11/5/2017,NULL,NULL
0CSJCW8I,Vicki Laflamme,Celia Rouche,West ,Finjob,employment,United States,GTXPro,GTX,4821,Won,4/27/2017,5/17/2017,4406
0CTHPQGT,Jonathan Berthelot,Melvin Marxen,Central ,Cancity,retail,United States,MG Special,MG,55,Won,7/9/2017,7/19/2017,53
0D37PQA0,Violet Mclelland,Cara Losch,East ,NULL,NULL,NULL,GTX Plus Basic,GTX,1096,Engaging,7/8/2017,NULL,NULL
0D8Y5JA0,Anna Snelling,Dustin Brinkmann,Central ,NULL,NULL,NULL,GTX Plus Pro,GTX,5482,Prospecting,NULL,NULL,NULL
0D95JSVW,James Ascencio,Summer Sewald,West ,Hatfan,services,United States,GTX Plus Pro,GTX,5482,Won,7/2/2017,9/16/2017,6192
0DDBDPJU,Lajuana Vencill,Dustin Brinkmann,Central ,Funholding,finance,United States,GTX Basic,GTX,550,Won,5/20/2017,8/5/2017,557
0DFXFKT7,Darcel Schlecht,Melvin Marxen,Central ,Rundofase,technolgy,United States,GTX Plus Basic,GTX,1096,Lost,11/17/2016,3/21/2017,0
0DLEXLEV,Boris Faz,Rocco Neubert,East ,Yearin,retail,United States,GTX Plus Pro,GTX,5482,Won,6/1/2017,9/7/2017,6117
0DRC1U9Q,Maureen Marcano,Summer Sewald,West ,Green-Plus,services,United States,GTX Basic,GTX,550,Engaging,11/20/2016,NULL,NULL
0DY00J6O,Maureen Marcano,Summer Sewald,West ,Xx-holding,finance,United States,GTX Plus Pro,GTX,5482,Won,11/28/2017,12/11/2017,5886
0DYZ71WX,Reed Clapper,Rocco Neubert,East ,Ganjaflex,retail,Japan,GTX Basic,GTX,550,Won,11/2/2017,11/16/2017,585
0E1HHXGB,Violet Mclelland,Cara Losch,East ,Donware,marketing,United States,MG Special,MG,55,Lost,10/13/2017,10/15/2017,0
0E761F02,Kary Hendrixson,Summer Sewald,West ,Kan-code,software,United States,GTX Basic,GTX,550,Won,3/16/2017,5/2/2017,579
0E8D6TCQ,Moses Frase,Dustin Brinkmann,Central ,NULL,NULL,NULL,GTX Plus Basic,GTX,1096,Prospecting,NULL,NULL,NULL
0EOFVU05,Donn Cantrell,Rocco Neubert,East ,Ontomedia,employment,United States,MG Advanced,MG,3393,Won,12/9/2016,3/28/2017,3421
0EX7ML4W,Gladys Colclough,Melvin Marxen,Central ,Finhigh,finance,United States,GTX Plus Pro,GTX,5482,Lost,3/10/2017,5/10/2017,0
0EYXI1UN,Hayden Neloms,Celia Rouche,West ,NULL,NULL,NULL,MG Advanced,MG,3393,Engaging,4/19/2017,NULL,NULL
0F9GSZRO,Moses Frase,Dustin Brinkmann,Central ,Bioholding,medical,Philipines,GTX Basic,GTX,550,Lost,8/5/2017,11/11/2017,0
0FGWN6O0,Moses Frase,Dustin Brinkmann,Central ,Isdom,medical,United States,GTX Basic,GTX,550,Won,7/10/2017,7/19/2017,588
0FIG6ZP2,Daniell Hammack,Rocco Neubert,East ,Massive Dynamic,entertainment,United States,GTX Plus Basic,GTX,1096,Won,3/8/2017,6/27/2017,1142
0FLFT1R4,Corliss Cosme,Cara Losch,East ,Massive Dynamic,entertainment,United States,GTX Basic,GTX,550,Won,5/19/2017,8/3/2017,516
0FST40LV,Anna Snelling,Dustin Brinkmann,Central ,Streethex,retail,Belgium,MG Special,MG,55,Won,3/13/2017,5/25/2017,52
0G0S9TB8,Donn Cantrell,Rocco Neubert,East ,Ontomedia,employment,United States,GTXPro,GTX,4821,Lost,5/5/2017,8/13/2017,0
0G65AQVC,James Ascencio,Summer Sewald,West ,Kan-code,software,United States,GTX Basic,GTX,550,Lost,4/5/2017,5/30/2017,0
0GJ586J0,Markita Hansen,Celia Rouche,West ,Sunnamplex,marketing,Poland,MG Special,MG,55,Lost,2/27/2017,3/14/2017,0
0GM4GDFT,Daniell Hammack,Rocco Neubert,East ,Bluth Company,technolgy,United States,GTXPro,GTX,4821,Lost,10/19/2017,10/28/2017,0
0GRGY09E,Darcel Schlecht,Melvin Marxen,Central ,Rangreen,technolgy,Panama,GTXPro,GTX,4821,Lost,9/21/2017,11/25/2017,0
0GS0L5VR,Anna Snelling,Dustin Brinkmann,Central ,NULL,NULL,NULL,MG Special,MG,55,Engaging,8/14/2017,NULL,NULL
0GTJE2VQ,Wilburn Farren,Cara Losch,East ,Gekko & Co,retail,United States,GTX Basic,GTX,550,Won,3/20/2017,6/14/2017,497
0GXXCA37,Darcel Schlecht,Melvin Marxen,Central ,Domzoom,entertainment,United States,GTXPro,GTX,4821,Won,4/17/2017,5/1/2017,4226
0GYOOM2R,Jonathan Berthelot,Melvin Marxen,Central ,Scottech,marketing,United States,GTXPro,GTX,4821,Lost,8/18/2017,8/25/2017,0
0H4AHJRI,Daniell Hammack,Rocco Neubert,East ,Bubba Gump,software,United States,GTX Basic,GTX,550,Lost,5/14/2017,6/1/2017,0
0H9C9J03,Markita Hansen,Celia Rouche,West ,NULL,NULL,NULL,GTX Plus Basic,GTX,1096,Engaging,8/25/2017,NULL,NULL
0HB6OUIN,Gladys Colclough,Melvin Marxen,Central ,Condax,medical,United States,GTXPro,GTX,4821,Lost,3/29/2017,5/20/2017,0
0HELH2Q0,James Ascencio,Summer Sewald,West ,Cheers,entertainment,United States,GTX Plus Basic,GTX,1096,Lost,2/26/2017,5/29/2017,0
0HR4TEU4,Marty Freudenburg,Melvin Marxen,Central ,Plussunin,retail,United States,GTX Plus Basic,GTX,1096,Prospecting,NULL,NULL,NULL
0HUWQWOJ,Markita Hansen,Celia Rouche,West ,NULL,NULL,NULL,MG Special,MG,55,Engaging,10/9/2017,NULL,NULL
0HVUV9OY,Gladys Colclough,Melvin Marxen,Central ,NULL,NULL,NULL,GTX Basic,GTX,550,Engaging,7/21/2017,NULL,NULL
0I6U3MQ6,Violet Mclelland,Cara Losch,East ,Funholding,finance,United States,GTX Basic,GTX,550,Engaging,1/12/2017,NULL,NULL
0IAJNXTD,Darcel Schlecht,Melvin Marxen,Central ,Domzoom,entertainment,United States,MG Special,MG,55,Lost,10/8/2017,10/10/2017,0
0IF5FH68,Jonathan Berthelot,Melvin Marxen,Central ,Domzoom,entertainment,United States,GTX Plus Pro,GTX,5482,Won,4/20/2017,8/3/2017,5203
0IO00FNS,Darcel Schlecht,Melvin Marxen,Central ,Warephase,services,United States,GTXPro,GTX,4821,Lost,12/28/2016,3/16/2017,0
0IO43YMS,Wilburn Farren,Cara Losch,East ,NULL,NULL,NULL,MG Advanced,MG,3393,Engaging,2/20/2017,NULL,NULL
0ISX53T3,Lajuana Vencill,Dustin Brinkmann,Central ,Globex Corporation,technolgy,Norway,GTX Basic,GTX,550,Won,10/6/2017,12/21/2017,453
0IYQX303,Reed Clapper,Rocco Neubert,East ,Donquadtech,technolgy,United States,GTXPro,GTX,4821,Won,1/11/2017,3/17/2017,4905
0J21WQH1,Kami Bicknell,Summer Sewald,West ,Fasehatice,retail,United States,GTX Plus Basic,GTX,1096,Lost,4/2/2017,4/14/2017,0
0J24X1Y0,Kami Bicknell,Summer Sewald,West ,Lexiqvolax,medical,United States,MG Special,MG,55,Won,9/6/2017,9/15/2017,56
0J3UU8PZ,Boris Faz,Rocco Neubert,East ,Zathunicon,retail,United States,GTX Basic,GTX,550,Won,10/22/2017,12/30/2017,546
0K59ZLQC,Corliss Cosme,Cara Losch,East ,Donquadtech,technolgy,United States,GTX Basic,GTX,550,Engaging,5/18/2017,NULL,NULL
0KEO3OP7,Daniell Hammack,Rocco Neubert,East ,NULL,NULL,NULL,GTX Plus Pro,GTX,5482,Engaging,4/27/2017,NULL,NULL
0KRVN3V5,Anna Snelling,Dustin Brinkmann,Central ,Hatfan,services,United States,MG Advanced,MG,3393,Engaging,7/21/2017,NULL,NULL
0KSK9O00,Lajuana Vencill,Dustin Brinkmann,Central ,Bluth Company,technolgy,United States,GTX Basic,GTX,550,Prospecting,NULL,NULL,NULL
0KVZKA5T,Vicki Laflamme,Celia Rouche,West ,Konex,technolgy,United States,MG Special,MG,55,Lost,7/18/2017,7/25/2017,0
0KWYQTQQ,Rosalina Dieter,Celia Rouche,West ,NULL,NULL,NULL,MG Special,MG,55,Engaging,11/10/2017,NULL,NULL
0L3VYSKY,Niesha Huffines,Melvin Marxen,Central ,Isdom,medical,United States,GTX Basic,GTX,550,Lost,8/23/2017,9/5/2017,0
0LDX9VLO,Versie Hillebrand,Dustin Brinkmann,Central ,Scottech,marketing,United States,MG Special,MG,55,Lost,6/14/2017,8/11/2017,0
0LMA8GMJ,Rosie Papadopoulos,Cara Losch,East ,Bubba Gump,software,United States,GTX Plus Pro,GTX,5482,Won,3/15/2017,5/10/2017,4983
0LNZRNEU,Violet Mclelland,Cara Losch,East ,Zencorporation,technolgy,China,GTX Basic,GTX,550,Won,1/2/2017,3/29/2017,542
0LRVHITK,Violet Mclelland,Cara Losch,East ,NULL,NULL,NULL,MG Special,MG,55,Engaging,6/16/2017,NULL,NULL
0LTBCZHI,Niesha Huffines,Melvin Marxen,Central ,Treequote,telecommunications,United States,MG Advanced,MG,3393,Won,9/13/2017,11/30/2017,3902
0LVWSWEW,Violet Mclelland,Cara Losch,East ,Donquadtech,technolgy,United States,MG Special,MG,55,Won,11/25/2016,3/6/2017,65
0M3NCPQX,Versie Hillebrand,Dustin Brinkmann,Central ,NULL,NULL,NULL,MG Special,MG,55,Engaging,7/30/2017,NULL,NULL
0M4K6F8Q,Gladys Colclough,Melvin Marxen,Central ,NULL,NULL,NULL,GTX Basic,GTX,550,Prospecting,NULL,NULL,NULL
0MKW8IPC,Donn Cantrell,Rocco Neubert,East ,Xx-zobam,entertainment,United States,GTX Basic,GTX,550,Won,7/26/2017,7/28/2017,554
0MMDQ1OR,Lajuana Vencill,Dustin Brinkmann,Central ,Codehow,software,United States,GTX Basic,GTX,550,Won,9/10/2017,11/12/2017,511
0MNAGD91,Moses Frase,Dustin Brinkmann,Central ,Betatech,medical,Kenya,MG Advanced,MG,3393,Won,6/24/2017,7/5/2017,3355
0MPEK4ZA,Donn Cantrell,Rocco Neubert,East ,Donquadtech,technolgy,United States,GTX Plus Basic,GTX,1096,Lost,6/26/2017,9/18/2017,0
0MXZ36G7,Corliss Cosme,Cara Losch,East ,Bubba Gump,software,United States,GTX Basic,GTX,550,Won,10/3/2017,10/4/2017,616
0MZIJDPM,Elease Gluck,Celia Rouche,West ,Faxquote,telecommunications,United States,MG Special,MG,55,Won,5/13/2017,9/13/2017,54
0N11U6L3,Daniell Hammack,Rocco Neubert,East ,Acme Corporation,technolgy,United States,GTX Plus Basic,GTX,1096,Engaging,10/30/2017,NULL,NULL
0N2VYY6Z,Markita Hansen,Celia Rouche,West ,Labdrill,medical,United States,GTX Basic,GTX,550,Lost,8/30/2017,9/19/2017,0
0NKINI7S,Lajuana Vencill,Dustin Brinkmann,Central ,Toughzap,retail,United States,MG Special,MG,55,Won,10/14/2017,10/16/2017,42
0NO04P6C,Hayden Neloms,Celia Rouche,West ,Nam-zim,services,Brazil,MG Special,MG,55,Won,12/2/2016,3/4/2017,59
0NP0XPLQ,Versie Hillebrand,Dustin Brinkmann,Central ,Toughzap,retail,United States,MG Special,MG,55,Won,8/31/2017,9/3/2017,59
0NSRB3EO,Jonathan Berthelot,Melvin Marxen,Central ,NULL,NULL,NULL,MG Special,MG,55,Engaging,7/20/2017,NULL,NULL
0OESOJNN,James Ascencio,Summer Sewald,West ,Warephase,services,United States,GTX Plus Basic,GTX,1096,Engaging,1/17/2017,NULL,NULL
0OHEJOI5,Corliss Cosme,Cara Losch,East ,NULL,NULL,NULL,MG Advanced,MG,3393,Engaging,8/13/2017,NULL,NULL
0OJE7J6C,Corliss Cosme,Cara Losch,East ,Gekko & Co,retail,United States,GTX Plus Pro,GTX,5482,Won,12/9/2017,12/17/2017,5143
0ONK3WET,Cassey Cress,Rocco Neubert,East ,Massive Dynamic,entertainment,United States,GTXPro,GTX,4821,Won,11/18/2017,11/21/2017,4243
0OOZE4GN,Rosie Papadopoulos,Cara Losch,East ,Zotware,software,United States,GTX Plus Pro,GTX,5482,Lost,2/26/2017,3/3/2017,0
0ORRC53X,Zane Levy,Summer Sewald,West ,Finjob,employment,United States,GTX Basic,GTX,550,Won,6/8/2017,9/8/2017,520
0OXJ2HOP,Markita Hansen,Celia Rouche,West ,Dalttechnology,software,United States,MG Advanced,MG,3393,Won,10/31/2017,11/11/2017,4058
0P4AAPYX,Hayden Neloms,Celia Rouche,West ,Golddex,finance,United States,GTX Plus Basic,GTX,1096,Won,12/2/2016,3/3/2017,1040
0P8NFYML,Cassey Cress,Rocco Neubert,East ,Betasoloin,medical,United States,MG Special,MG,55,Lost,5/6/2017,5/24/2017,0
0PGJNCD7,Anna Snelling,Dustin Brinkmann,Central ,dambase,marketing,United States,GTX Basic,GTX,550,Won,4/16/2017,6/23/2017,626
0PH153YF,Gladys Colclough,Melvin Marxen,Central ,Condax,medical,United States,GTXPro,GTX,4821,Lost,7/12/2017,7/13/2017,0
